female,married,spouse_rated,age,X_factor_bi,X_factor_pd,X_factor_comp,X_factor_coll,X_factor_loan,X_factor_med,X_factor_pip,X_factor_umbi,X_factor_umpd,X_factor_rent,X_factor_roadside,duplicate
0,0,0,70,1.38,1.31,0.74,1.13,0.74,1.01,0.98,1.1,1.13,1.13,1.13,0
0,0,1,70,1.38,1.31,0.74,1.13,0.74,1.01,0.98,1.1,1.13,1.13,1.13,0
0,0,0,71,1.43,1.34,0.73,1.16,0.73,1.06,0.96,1.11,1.16,1.16,1.16,0
0,0,1,71,1.43,1.34,0.73,1.16,0.73,1.06,0.96,1.11,1.16,1.16,1.16,0
0,0,0,72,1.48,1.38,0.73,1.19,0.73,1.11,0.95,1.13,1.19,1.19,1.19,0
0,0,1,72,1.48,1.38,0.73,1.19,0.73,1.11,0.95,1.13,1.19,1.19,1.19,0
0,0,0,73,1.53,1.42,0.72,1.22,0.72,1.16,0.94,1.14,1.22,1.22,1.22,0
0,0,1,73,1.53,1.42,0.72,1.22,0.72,1.16,0.94,1.14,1.22,1.22,1.22,0
0,0,0,74,1.58,1.47,0.72,1.25,0.72,1.21,0.93,1.16,1.25,1.25,1.25,0
0,0,1,74,1.58,1.47,0.72,1.25,0.72,1.21,0.93,1.16,1.25,1.25,1.25,0
0,0,0,75,1.96,1.77,0.67,1.5,0.67,1.39,1.12,1.19,1.5,1.5,1.5,0
0,0,1,75,1.96,1.77,0.67,1.5,0.67,1.39,1.12,1.19,1.5,1.5,1.5,0
0,0,0,77,2.26,2.13,0.67,1.79,0.67,1.6,1.35,1.21,1.79,1.79,1.79,0
0,0,1,77,2.26,2.13,0.67,1.79,0.67,1.6,1.35,1.21,1.79,1.79,1.79,0
0,0,0,79,2.6,2.55,0.67,2.14,0.67,1.83,1.62,1.24,2.14,2.14,2.14,0
0,0,1,79,2.6,2.55,0.67,2.14,0.67,1.83,1.62,1.24,2.14,2.14,2.14,0
0,0,0,81,2.6,2.55,0.67,2.18,0.67,1.83,1.66,1.29,2.18,2.18,2.18,0
